osm_type,osm_id,place,name,name:uk,wikidata,lat,lon
node,26150422,city,Kyiv,Київ,Q1899,50.4500336,30.5241361
node,26150436,city,Chernihiv,Чернігів,Q157053,51.494099,31.294332
node,26150437,city,Odesa,Одеса,Q1874,46.4843023,30.7322878
node,26150791,city,Lviv,Львів,Q36036,49.841952,24.0315921
node,26150796,town,Boryspil,Бориспіль,Q158910,50.3512101,30.95077
node,27121092,town,Bohodukhiv,Богодухів,Q889930,50.1601711,35.5220539
node,27121360,city,Poltava,Полтава,Q156747,49.5897423,34.5507948
node,27122099,town,Berestyn,Берестин,Q1104739,49.3741326,35.4494234
node,27122612,city,Zaporizhzhia,Запоріжжя,Q157835,47.8507859,35.1182867
node,27212295,city,Yevpatoriya,Евпатория,Q33345,45.1907635,33.3679049
node,29980666,city,Mariupol,Маріуполь,Q37133,47.0957648,37.5499621
node,36505064,town,Irpin,Ірпінь,Q71727,50.5206777,30.2448725
node,36507630,town,Vyshneve,Вишневе,Q997440,50.3917497,30.3678999
node,36507632,town,Boiarka,Боярка,Q891175,50.3356709,30.2847595
node,36564513,village,Petrushky,Петрушки,Q4361752,50.42165,30.162504
node,36564515,village,Dmytrivka,Дмитрівка,Q4162953,50.4605965,30.1757337
node,39682896,city,Donetsk,Донецьк,Q43070,48.0158753,37.8013407
node,60410873,city,Mykolaiv,Миколаїв,Q41572,46.9758615,31.9939666
node,70950474,town,Kurakhove,Курахове,Q1023513,47.9835214,37.2826414
node,111353560,city,Uzhhorod,Ужгород,Q156711,48.6223731,22.3022572
node,111366726,town,Chop,Чоп,Q219193,48.4313665,22.2063694
node,127834997,town,Chornobyl,Чорнобиль,Q129677,51.2705477,30.2195609
node,127835001,town,Prypiat,Прип’ять,Q170456,51.4059655,30.0573963
node,146498192,town,Zviahel,Звягель,Q149024,50.5917622,27.6066973
node,146541158,city,Rivne,Рівне,Q156739,50.6196175,26.2513165
node,146570870,city,Lutsk,Луцьк,Q7550,50.7450733,25.320078
node,146651245,town,Kovel,Ковель,Q156704,51.2120807,24.7088806
node,227045548,town,Hadiach,Гадяч,Q268638,50.3701299,33.9950534
node,247880583,town,Stryi,Стрий,Q158923,49.255875,23.8530863
node,248777764,town,Uman,Умань,Q208499,48.7497621,30.2203052
node,249633429,village,Oradivka,Орадівка,Q4335615,48.7720121,29.9889179
node,249633934,village,Palanka,Паланка,Q4342438,48.7331789,30.10288
node,249634006,village,Rozsishky,Розсішки,Q4398369,48.7800534,30.0344358
node,249634064,village,Veselivka,Веселівка,Q4109391,48.794537,30.071573
node,249634267,town,Verkhniachka,Верхнячка,Q2022715,48.829805,30.0417049
node,249634482,village,Mala Sevastianivka,Мала Севастянівка,Q4277316,48.7918486,29.915171
