direction,cid,name,aliases
andriivka,595355232778815130,andriivka,andreevka;andreyevka;andriivka;andriovka
antonivka,582812459393168760,antonivka,antonivka;antonovka
avdiivka,593322802715200670,avdiivka,avdeevka;avdiivka;avdiovka
bakhmut,595285744503658381,bakhmut,artemivsk;artemovsk;artyomovsk;bakhmut
berestove,595639679872018041,berestove,berestove;berestovoe;berestovoye
berkhivka,595467881181730200,berkhivka,berkhivka;berkhovka
bohdanivka,609435531435519747,bohdanivka,bogdanivka;bogdanovka;bohdanivka;bohdanovka
blahodatne,585125947820496573,blahodatne,blagodatne;blagodatnoe;blagodatnoye;blahodatne;radhospne
chasiv yar,595164007950452831,chasiv yar,chasiv yar;chasov yar
dibrova,587260782790427322,dibrova,dibrova;dibrovka;dibrovoe
hrekivka,598053485853618686,hrekivka,grekovka;hrekivka;hrekovka;petrivske;petrovskoe
ivanivka,602341070098253426,ivanivka,ivanivka;ivanovka
klishchiivka,594972800301516680,klishchiivka,kleshchievka;klishchiivka;klishchiovka
kurdiumivka,594716824545640972,kurdiumivka,kurdiumivka;kurdiumovka;kurdyumivka;kurdyumovka
lyptsi,602190144948557859,lyptsi,liptsy;lyptsi
makiivka,592949136265696219,makiivka,makeevka;makeyevka;makiivka;makiovka;makiyivka
mala tokmachka,591202248510283330,mala tokmachka,mala tokmachka;mala tokmachku;malaya tokmachka;malaya tokmachku
neskuchne,602183745447435463,neskuchne,neskuchne;neskuchnoe
novodanylivka,590668706197879339,novodanylivka,novodanilovka;novodanylivka
novodonetske,591655565129584228,novodonetske,novodonetske;novodonetskoe
novodarivka,592560768144340055,novodarivka,novodarevka;novodarivka;novodarovka
novokairy,588464228331637398,novokairy,novokairy
novopokrovka,592996681550314659,novopokrovka,novo pokrovka;novopokrovka
novoprokopivka,590161709722277909,novoprokopivka,novoprokopevka;novoprokopivka;novoprokopovka
novoselivka,601152523799288949,novoselivka,novoselivka;novoselovka;novosyolovka
novoselivske,595055740412809037,novoselivske,novoselivske;novoselovskoye;novosyolovskoe
oleksandrivka,606594891605964458,oleksandrivka,aleksandrovka;oleksandrivka;oleksandrovka
opytne,595084447976438766,opytne,opitne;opytne;opytnoe
pavlivka,585370382999889806,pavlivka,pavlivka;pavlovka;pavlyivka
petrivka,579897250340017930,petrivka,cabaç;petriivka;petrivka;petrovka;pyotrovka
ploshchanka,597897282188193674,ploshchanka,ploshchanka
