name,aliases,place,wikidata,coordinates,region,ru_group,usage
chervonohryhorivka,chervonogrigorovka;chervonohryhorivka;червоногригорівка;червоногригоровка,urban type settlement,Q3516605,"[34.50583, 47.61889]",dnipropetrovsk oblast,vostok group of forces,1
vesele,vesele;veseloye;веселе;весёлое,village,Q4109831,"[35.739726, 47.189406]",zaporizhzhia oblast,dnepr group of forces,1
novoandriivka,novoandreyevka;novoandriivka;новоандріївка;новоандреевка,village,Q4323143,"[35.699274, 47.546986]",zaporizhzhia oblast,dnepr group of forces,1
zatyshshia,zatishye;zatyshshia;затишшя;затишье,village,Q4188392,"[36.32011, 47.68719]",zaporizhzhia oblast,dnepr group of forces,1
vesele,vesele;veseloye;veselye;vessele;vesyoloye;wesele;веселе;весёлое,village,Q4109794,"[34.930670, 47.998248]",zaporizhzhia oblast,dnepr group of forces,0
orikhiv,jump sq;jump square;orekhiv;orekhov;orichiv;orikhiv;orikhiv city;оріхів;орехов,city,Q521105,"[35.7875,47.5675]",zaporizhzhia oblast,dnepr group of forces,2
zelenyi hai,zelenyi gay;zelenyi hai;zelenyy gay;zelenyy hai;зелений гай;зелёный гай;нейгорст,village,Q4190855,"[34.379167, 47.566111]",dnipropetrovsk oblast,vostok group of forces,1
kamianske,kamenskoye;kamianske;каменское;камянське;кам’янське,village,Q4230435,"[34.42606, 47.61719]",dnipropetrovsk oblast,vostok group of forces,1
musiivka,musiivka;musiovka;мусиевка;мусіївка,village,Q4308352,"[34.44765, 47.61139]",dnipropetrovsk oblast,vostok group of forces,1
novokamianske,"novokamenskoye;novokamianske;астана;конгресс холл;конгресс-холл;концертный зал ""астана""",village,Q4230441,"[34.41000, 47.60000]",dnipropetrovsk oblast,vostok group of forces,1
zelenyi hai,zeleny gai;zelenyi hai;минимальная декомпрессия,village,Q4294214,"[34.54000, 47.59000]",dnipropetrovsk oblast,vostok group of forces,1
pershotravneve,pershotravneve;pershotravnevoye;конгресс холл;конгресс холл торатау;конгресс-холл;конгресс-холл торатау;торатау,village,Q4230442,"[34.38000, 47.62000]",dnipropetrovsk oblast,vostok group of forces,1
vesele,vesele;veseloye;веселе;весёлое;нововесела,town,Q2064567,"[34.921194, 47.018861]",zaporizhzhia oblast,dnepr group of forces,1
stepove,stepove;stepovoye;степове;степовое,village,Q4442207,"[35.482361, 47.54472]",zaporizhzhia oblast,dnepr group of forces,1
shcherbaky,scherbaki;shcherbaky;щербаки,village,Q4528792,"[35.582167, 47.550818]",zaporizhzhia oblast,dnepr group of forces,1
prymorske,primorskoye;prymorske;подстепное;приморское;приморське;царицын кут;царичанский кут;царкут;царь кут;царь-кут;церковный,village,Q3211683,"[35.294284, 47.624383]",zaporizhzhia oblast,dnepr group of forces,1
novoandriivka,novoandreyevka;novoan
kamianske,kamenskoye;kamianske;кам'янське;каменское;камянське;янчекрак,village,Q4211413,"[35.366333, 47.543139]",zaporizhzhia oblast,dnepr group of forces,1
dobropillia,dobropillia;dobropolye;доброполье;добропілля;хвалибогівка,village,Q4163752,"[36.19516, 47.782489]",zaporizhzhia oblast,dnepr group of forces,1
temyrivka,temirovka;temyrivka;темировка;темирівка,village,Q4454456,"[36.572395, 47.825043]",zaporizhzhia oblast,dnepr group of forces,1
mala tokmachka,mala tokmachka;malaya tokmachka;мала токмачка;малая токмачка,village,Q4277416,"[35.898056, 47.5375]",zaporizhzhia oblast,dnepr group of forces,1
novodarivka,novodarivka;novodarovka;новодаровка;новодарівка,village,Q4323563,"[36.63474, 47.78303]",zaporizhzhia oblast,dnepr group of forces,1
robotyne,robotino;robotyne;работино;роботине,village,Q4386777,"[35.826111, 47.443056]",zaporizhzhia oblast,dnepr group of forces,2
novodanylivka,novodanilovka;novodanylivka;новоданиловка;новоданилівка,village,Q4323554,"[35.824939, 47.525775]",zaporizhzhia oblast,dnepr group of forces,1
novoandriivka,novoandriivka;novoandriyivka;пятихатки;п’ятихатки,village,none,"[35.4571, 47.5043]",zaporizhzhia oblast,dnepr group of forces,0
